Team,Date,Comp,Venue,Result,GF,GA,Opponent,Referee,season,Resultado
Real Madrid CF,1/19/2019,La Liga,Home,W,2,0,Sevilla,Antonio Matéu Lahoz,18/19,Victoria
Real Madrid CF,1/24/2019,Copa del Rey,Home,W,4,2,Girona,Alberto Undiano,18/19,Victoria
Real Madrid CF,1/27/2019,La Liga,Away,W,4,2,Espanyol,Jesús Gil,18/19,Victoria
Real Madrid CF,1/31/2019,Copa del Rey,Away,W,3,1,Girona,Juan Martínez,18/19,Victoria
Real Madrid CF,2/3/2019,La Liga,Home,W,3,0,Alavés,Santiago Jaime,18/19,Victoria
Real Madrid CF,2/6/2019,Copa del Rey,Away,D,1,1,Barcelona,Antonio Matéu Lahoz,18/19,No Victoria
Real Madrid CF,2/9/2019,La Liga,Away,W,3,1,Atlético Madrid,Javier Estrada,18/19,Victoria
Real Madrid CF,2/13/2019,Champions Lg,Away,W,2,1,nlAjax,Szymon Marciniak,18/19,Victoria
Real Madrid CF,2/17/2019,La Liga,Home,L,1,2,Girona,Guillermo Cuadra,18/19,No Victoria
Real Madrid CF,2/24/2019,La Liga,Away,W,2,1,Levante,Ignacio Iglesias,18/19,Victoria
Real Madrid CF,2/27/2019,Copa del Rey,Home,L,0,3,Barcelona,José Sánchez,18/19,No Victoria
Real Madrid CF,3/2/2019,La Liga,Home,L,0,1,Barcelona,Alberto Undiano,18/19,No Victoria
Real Madrid CF,3/5/2019,Champions Lg,Home,L,1,4,nlAjax,Felix Brych,18/19,No Victoria
Real Madrid CF,3/10/2019,La Liga,Away,W,4,1,Valladolid,Jesús Gil,18/19,Victoria
Real Madrid CF,3/16/2019,La Liga,Home,W,2,0,Celta Vigo,Juan Martínez,18/19,Victoria
Real Madrid CF,3/31/2019,La Liga,Home,W,3,2,Huesca,Javier Estrada,18/19,Victoria
Real Madrid CF,4/3/2019,La Liga,Away,L,1,2,Valencia,Santiago Jaime,18/19,No Victoria
Real Madrid CF,4/6/2019,La Liga,Home,W,2,1,Eibar,Pablo González,18/19,Victoria
Real Madrid CF,4/15/2019,La Liga,Away,D,1,1,Leganés,David Medié,18/19,No Victoria
Real Madrid CF,4/21/2019,La Liga,Home,W,3,0,Athletic Club,Mario Melero,18/19,Victoria
Real Madrid CF,4/25/2019,La Liga,Away,D,0,0,Getafe,Ricardo de Burgos,18/19,No Victoria
Real Madrid CF,4/28/2019,La Liga,Away,L,0,1,Rayo Vallecano,Pablo González,18/19,No Victoria
Real Madrid CF,5/5/2019,La Liga,Home,W,3,2,Villarreal,Jesús Gil,18/19,Victoria
Real Madrid CF,5/12/2019,La Liga,Away,L,1,3,Real Sociedad,Juan Martínez,18/19,No Victoria
Real Madrid CF,5/19/2019,La Liga,Home,L,0,2,Betis,Alberto Undiano,18/19,No Victoria
Real Madrid CF,8/17/2019,La Liga,Away,W,3,1,Celta Vigo,Javier Estrada,19/20,Victoria
Real Madrid CF,8/24/2019,La Liga,Home,D,1,1,Valladolid,Pablo González,19/20,No Victoria
Real Madrid CF,9/1/2019,La Liga,Away,D,2,2,Villarreal,Jesús Gil,19/20,No Victoria
Real Madrid CF,9/14/2019,La Liga,Home,W,3,2,Levante,Ricardo de Burgos,19/20,Victoria
Real Madrid CF,9/18/2019,Champions Lg,Away,L,0,3,frParis S-G,Anthony Taylor,19/20,No Victoria
Real Madrid CF,9/22/2019,La Liga,Away,W,1,0,Sevilla,Juan Martínez,19/20,Victoria
Real Madrid CF,9/25/2019,La Liga,Home,W,2,0,Osasuna,Antonio Matéu Lahoz,19/20,Victoria
Real Madrid CF,9/28/2019,La Liga,Away,D,0,0,Atlético Madrid,José González,19/20,No Victoria
Real Madrid CF,10/1/2019,Champions Lg,Home,D,2,2,beClub Brugge,Georgi Kabakov,19/20,No Victoria
Real Madrid CF,10/5/2019,La Liga,Home,W,4,2,Granada,Santiago Jaime,19/20,Victoria
Real Madrid CF,10/19/2019,La Liga,Away,L,0,1,Mallorca,Alberola Rojas,19/20,No Victoria
Real Madrid CF,10/22/2019,Champions Lg,Away,W,1,0,trGalatasaray,Daniele Orsato,19/20,Victoria
Real Madrid CF,10/30/2019,La Liga,Home,W,5,0,Leganés,César Soto,19/20,Victoria
Real Madrid CF,11/2/2019,La Liga,Home,D,0,0,Betis,José Sánchez,19/20,No Victoria
Real Madrid CF,11/6/2019,Champions Lg,Home,W,6,0,trGalatasaray,Felix Zwayer,19/20,Victoria
Real Madrid CF,11/9/2019,La Liga,Away,W,4,0,Eibar,Adrián Cordero,19/20,Victoria
Real Madrid CF,11/23/2019,La Liga,Home,W,3,1,Real Sociedad,Jesús Gil,19/20,Victoria
Real Madrid CF,11/26/2019,Champions Lg,Home,D,2,2,frParis S-G,Artur Soares Dias,19/20,No Victoria
Real Madrid CF,11/30/2019,La Liga,Away,W,2,1,Alavés,Guillermo Cuadra,19/20,Victoria
Real Madrid CF,12/7/2019,La Liga,Home,W,2,0,Espanyol,Santiago Jaime,19/20,Victoria
Real Madrid CF,12/11/2019,Champions Lg,Away,W,3,1,beClub Brugge,Tobias Stieler,19/20,Victoria
Real Madrid CF,12/15/2019,La Liga,Away,D,1,1,Valencia,José Sánchez,19/20,No Victoria
Real Madrid CF,12/18/2019,La Liga,Away,D,0,0,Barcelona,Alejandro Hernández,19/20,No Victoria
Real Madrid CF,12/22/2019,La Liga,Home,D,0,0,Athletic Club,Adrián Cordero,19/20,No Victoria
Real Madrid CF,1/4/2020,La Liga,Away,W,3,0,Getafe,José Luis Munuera,19/20,Victoria
Real Madrid CF,1/8/2020,Supercopa de España,Away,W,3,1,Valencia,Jesús Gil,19/20,Victoria
Real Madrid CF,1/12/2020,Supercopa de España,Home,D,0 (4),0 (1),Atlético Madrid,José Sánchez,19/20,No Victoria
Real Madrid CF,1/18/2020,La Liga,Home,W,2,1,Sevilla,Juan Martínez,19/20,Victoria
Real Madrid CF,1/22/2020,Copa del Rey,Away,W,3,1,Unionistas Sal,Mario Melero,19/20,Victoria
Real Madrid CF,1/26/2020,La Liga,Away,W,1,0,Valladolid,Ricardo de Burgos,19/20,Victoria
Real Madrid CF,1/29/2020,Copa del Rey,Away,W,4,0,Zaragoza,José González,19/20,Victoria
Real Madrid CF,2/1/2020,La Liga,Home,W,1,0,Atlético Madrid,Javier Estrada,19/20,Victoria
Real Madrid CF,2/6/2020,Copa del Rey,Home,L,3,4,Real Sociedad,Antonio Matéu Lahoz,19/20,No Victoria
Real Madrid CF,2/9/2020,La Liga,Away,W,4,1,Osasuna,Jesús Gil,19/20,Victoria
Real Madrid CF,2/16/2020,La Liga,Home,D,2,2,Celta Vigo,Alberola Rojas,19/20,No Victoria
Real Madrid CF,2/22/2020,La Liga,Away,L,0,1,Levante,Alejandro Hernández,19/20,No Victoria
Real Madrid CF,2/26/2020,Champions Lg,Home,L,1,2,engManchester City,Daniele Orsato,19/20,No Victoria
Real Madrid CF,3/1/2020,La Liga,Home,W,2,0,Barcelona,Antonio Matéu Lahoz,19/20,Victoria
Real Madrid CF,3/8/2020,La Liga,Away,L,1,2,Betis,José González,19/20,No Victoria
Real Madrid CF,6/14/2020,La Liga,Home,W,3,1,Eibar,Guillermo Cuadra,19/20,Victoria
Real Madrid CF,6/18/2020,La Liga,Home,W,3,0,Valencia,José Sánchez,19/20,Victoria
Real Madrid CF,6/21/2020,La Liga,Away,W,2,1,Real Sociedad,Javier Estrada,19/20,Victoria
Real Madrid CF,6/24/2020,La Liga,Home,W,2,0,Mallorca,Mario Melero,19/20,Victoria
Real Madrid CF,6/28/2020,La Liga,Away,W,1,0,Espanyol,Antonio Matéu Lahoz,19/20,Victoria
Real Madrid CF,7/2/2020,La Liga,Home,W,1,0,Getafe,Juan Martínez,19/20,Victoria
Real Madrid CF,7/5/2020,La Liga,Away,W,1,0,Athletic Club,José González,19/20,Victoria
Real Madrid CF,7/10/2020,La Liga,Home,W,2,0,Alavés,Jesús Gil,19/20,Victoria
Real Madrid CF,7/13/2020,La Liga,Away,W,2,1,Granada,Santiago Jaime,19/20,Victoria
Real Madrid CF,7/16/2020,La Liga,Home,W,2,1,Villarreal,Alejandro Hernández,19/20,Victoria
Real Madrid CF,7/19/2020,La Liga,Away,D,2,2,Leganés,Guillermo Cuadra,19/20,No Victoria
Real Madrid CF,8/7/2020,Champions Lg,Away,L,1,2,engManchester City,Felix Brych,19/20,No Victoria
Real Madrid CF,9/20/2020,La Liga,Away,D,0,0,Real Sociedad,Juan Martínez,20/21,No Victoria
Real Madrid CF,9/26/2020,La Liga,Away,W,3,2,Betis,Ricardo de Burgos,20/21,Victoria
Real Madrid CF,9/30/2020,La Liga,Home,W,1,0,Valladolid,César Soto,20/21,Victoria
Real Madrid CF,10/4/2020,La Liga,Away,W,2,0,Levante,José Luis Munuera,20/21,Victoria
Real Madrid CF,10/17/2020,La Liga,Home,L,0,1,Cádiz,Santiago Jaime,20/21,No Victoria
Real Madrid CF,10/21/2020,Champions Lg,Home,L,2,3,uaShakhtar,Srđan Jovanović,20/21,No Victoria
Real Madrid CF,10/24/2020,La Liga,Away,W,3,1,Barcelona,Juan Martínez,20/21,Victoria
Real Madrid CF,10/27/2020,Champions Lg,Away,D,2,2,deM'Gladbach,Orel Grinfeeld,20/21,No Victoria
Real Madrid CF,10/31/2020,La Liga,Home,W,4,1,Huesca,Pablo González,20/21,Victoria
Real Madrid CF,11/3/2020,Champions Lg,Home,W,3,2,itInter,Clément Turpin,20/21,Victoria
Real Madrid CF,11/8/2020,La Liga,Away,L,1,4,Valencia,Jesús Gil,20/21,No Victoria
Real Madrid CF,11/21/2020,La Liga,Away,D,1,1,Villarreal,Alejandro Hernández,20/21,No Victoria
Real Madrid CF,11/25/2020,Champions Lg,Away,W,2,0,itInter,Anthony Taylor,20/21,Victoria
Real Madrid CF,11/28/2020,La Liga,Home,L,1,2,Alavés,Adrián Cordero,20/21,No Victoria
Real Madrid CF,12/1/2020,Champions Lg,Away,L,0,2,uaShakhtar,Ovidiu Hațegan,20/21,No Victoria
Real Madrid CF,12/5/2020,La Liga,Away,W,1,0,Sevilla,José Sánchez,20/21,Victoria
Real Madrid CF,12/9/2020,Champions Lg,Home,W,2,0,deM'Gladbach,Björn Kuipers,20/21,Victoria
Real Madrid CF,12/12/2020,La Liga,Home,W,2,0,Atlético Madrid,Antonio Matéu Lahoz,20/21,Victoria
Real Madrid CF,12/15/2020,La Liga,Home,W,3,1,Athletic Club,Jesús Gil,20/21,Victoria
Real Madrid CF,12/20/2020,La Liga,Away,W,3,1,Eibar,José Luis Munuera,20/21,Victoria
Real Madrid CF,12/23/2020,La Liga,Home,W,2,0,Granada,Juan Martínez,20/21,Victoria
Real Madrid CF,12/30/2020,La Liga,Away,D,1,1,Elche,Jorge Figueroa,20/21,No Victoria
Real Madrid CF,1/2/2021,La Liga,Home,W,2,0,Celta Vigo,Ricardo de Burgos,20/21,Victoria
Real Madrid CF,1/9/2021,La Liga,Away,D,0,0,Osasuna,César Soto,20/21,No Victoria
Real Madrid CF,1/14/2021,Supercopa de España,Home,L,1,2,Athletic Club,Juan Martínez,20/21,No Victoria
Real Madrid CF,1/20/2021,Copa del Rey,Away,L,1,2,Alcoyano,José Sánchez,20/21,No Victoria
Real Madrid CF,1/23/2021,La Liga,Away,W,4,1,Alavés,Alejandro Hernández,20/21,Victoria
Real Madrid CF,1/30/2021,La Liga,Home,L,1,2,Levante,David Medié,20/21,No Victoria
Real Madrid CF,2/6/2021,La Liga,Away,W,2,1,Huesca,Javier Estrada,20/21,Victoria
Real Madrid CF,2/9/2021,La Liga,Home,W,2,0,Getafe,Alberola Rojas,20/21,Victoria
Real Madrid CF,2/14/2021,La Liga,Home,W,2,0,Valencia,José Sánchez,20/21,Victoria
Real Madrid CF,2/20/2021,La Liga,Away,W,1,0,Valladolid,Guillermo Cuadra,20/21,Victoria
Real Madrid CF,2/24/2021,Champions Lg,Away,W,1,0,itAtalanta,Tobias Stieler,20/21,Victoria
Real Madrid CF,3/1/2021,La Liga,Home,D,1,1,Real Sociedad,Jesús Gil,20/21,No Victoria
Real Madrid CF,3/7/2021,La Liga,Away,D,1,1,Atlético Madrid,Alejandro Hernández,20/21,No Victoria
Real Madrid CF,3/13/2021,La Liga,Home,W,2,1,Elche,Jorge Figueroa,20/21,Victoria
Real Madrid CF,3/16/2021,Champions Lg,Home,W,3,1,itAtalanta,Danny Makkelie,20/21,Victoria
Real Madrid CF,3/20/2021,La Liga,Away,W,3,1,Celta Vigo,Mario Melero,20/21,Victoria
Real Madrid CF,4/3/2021,La Liga,Home,W,2,0,Eibar,Isidro Díaz de Mera,20/21,Victoria
Real Madrid CF,4/6/2021,Champions Lg,Home,W,3,1,engLiverpool,Felix Brych,20/21,Victoria
Real Madrid CF,4/10/2021,La Liga,Home,W,2,1,Barcelona,Jesús Gil,20/21,Victoria
Real Madrid CF,4/14/2021,Champions Lg,Away,D,0,0,engLiverpool,Björn Kuipers,20/21,No Victoria
Real Madrid CF,4/18/2021,La Liga,Away,D,0,0,Getafe,José Sánchez,20/21,No Victoria
Real Madrid CF,4/21/2021,La Liga,Away,W,3,0,Cádiz,Antonio Matéu Lahoz,20/21,Victoria
Real Madrid CF,4/24/2021,La Liga,Home,D,0,0,Betis,Javier Estrada,20/21,No Victoria
Real Madrid CF,4/27/2021,Champions Lg,Home,D,1,1,engChelsea,Danny Makkelie,20/21,No Victoria
Real Madrid CF,5/1/2021,La Liga,Home,W,2,0,Osasuna,Guillermo Cuadra,20/21,Victoria
Real Madrid CF,5/5/2021,Champions Lg,Away,L,0,2,engChelsea,Daniele Orsato,20/21,No Victoria
Real Madrid CF,5/9/2021,La Liga,Home,D,2,2,Sevilla,Juan Martínez,20/21,No Victoria
Real Madrid CF,5/13/2021,La Liga,Away,W,4,1,Granada,Jesús Gil,20/21,Victoria
Real Madrid CF,5/16/2021,La Liga,Away,W,1,0,Athletic Club,Antonio Matéu Lahoz,20/21,Victoria
Real Madrid CF,5/22/2021,La Liga,Home,W,2,1,Villarreal,José Luis Munuera,20/21,Victoria
Real Madrid CF,8/14/2021,La Liga,Away,W,4,1,Alavés,César Soto,21/22,Victoria
Real Madrid CF,8/22/2021,La Liga,Away,D,3,3,Levante,Guillermo Cuadra,21/22,No Victoria
Real Madrid CF,8/28/2021,La Liga,Away,W,1,0,Betis,Alejandro Hernández,21/22,Victoria
Real Madrid CF,9/12/2021,La Liga,Home,W,5,2,Celta Vigo,José Sánchez,21/22,Victoria
Real Madrid CF,9/15/2021,Champions Lg,Away,W,1,0,itInter,Daniel Siebert,21/22,Victoria
Real Madrid CF,9/19/2021,La Liga,Away,W,2,1,Valencia,Pablo González,21/22,Victoria
Real Madrid CF,9/22/2021,La Liga,Home,W,6,1,Mallorca,Alberola Rojas,21/22,Victoria
Real Madrid CF,9/25/2021,La Liga,Home,D,0,0,Villarreal,Jesús Gil,21/22,No Victoria
Real Madrid CF,9/28/2021,Champions Lg,Home,L,1,2,mdSheriff Tiraspol,Lawrence Visser,21/22,No Victoria
Real Madrid CF,10/3/2021,La Liga,Away,L,1,2,Espanyol,Guillermo Cuadra,21/22,No Victoria
Real Madrid CF,10/19/2021,Champions Lg,Away,W,5,0,uaShakhtar,Srđan Jovanović,21/22,Victoria
Real Madrid CF,10/24/2021,La Liga,Away,W,2,1,Barcelona,José Sánchez,21/22,Victoria
Real Madrid CF,10/27/2021,La Liga,Home,D,0,0,Osasuna,César Soto,21/22,No Victoria
Real Madrid CF,10/30/2021,La Liga,Away,W,2,1,Elche,Ricardo de Burgos,21/22,Victoria
Real Madrid CF,11/3/2021,Champions Lg,Home,W,2,1,uaShakhtar,Benoît Bastien,21/22,Victoria
Real Madrid CF,11/6/2021,La Liga,Home,W,2,1,Rayo Vallecano,Pablo González,21/22,Victoria
Real Madrid CF,11/21/2021,La Liga,Away,W,4,1,Granada,Juan Martínez,21/22,Victoria
Real Madrid CF,11/24/2021,Champions Lg,Away,W,3,0,mdSheriff Tiraspol,Szymon Marciniak,21/22,Victoria
Real Madrid CF,11/28/2021,La Liga,Home,W,2,1,Sevilla,José Sánchez,21/22,Victoria
Real Madrid CF,12/1/2021,La Liga,Home,W,1,0,Athletic Club,Isidro Díaz de Mera,21/22,Victoria
Real Madrid CF,12/4/2021,La Liga,Away,W,2,0,Real Sociedad,Jesús Gil,21/22,Victoria
Real Madrid CF,12/7/2021,Champions Lg,Home,W,2,0,itInter,Felix Brych,21/22,Victoria
Real Madrid CF,12/12/2021,La Liga,Home,W,2,0,Atlético Madrid,Antonio Matéu Lahoz,21/22,Victoria
Real Madrid CF,12/19/2021,La Liga,Home,D,0,0,Cádiz,Santiago Jaime,21/22,No Victoria
Real Madrid CF,12/22/2021,La Liga,Away,W,2,1,Athletic Club,César Soto,21/22,Victoria
Real Madrid CF,1/2/2022,La Liga,Away,L,0,1,Getafe,Mario Melero,21/22,No Victoria
Real Madrid CF,1/5/2022,Copa del Rey,Away,W,3,1,Alcoyano,Adrián Cordero,21/22,Victoria
Real Madrid CF,1/8/2022,La Liga,Home,W,4,1,Valencia,Alejandro Hernández,21/22,Victoria
Real Madrid CF,1/12/2022,Supercopa de España,Away,W,3,2,Barcelona,José Luis Munuera,21/22,Victoria
Real Madrid CF,1/16/2022,Supercopa de España,Away,W,2,0,Athletic Club,César Soto,21/22,Victoria
Real Madrid CF,1/20/2022,Copa del Rey,Away,W,2,1,Elche,Jorge Figueroa,21/22,Victoria
Real Madrid CF,1/23/2022,La Liga,Home,D,2,2,Elche,Ricardo de Burgos,21/22,No Victoria
Real Madrid CF,2/3/2022,Copa del Rey,Away,L,0,1,Athletic Club,Jesús Gil,21/22,No Victoria
Real Madrid CF,2/6/2022,La Liga,Home,W,1,0,Granada,Antonio Matéu Lahoz,21/22,Victoria
Real Madrid CF,2/12/2022,La Liga,Away,D,0,0,Villarreal,José Sánchez,21/22,No Victoria
Real Madrid CF,2/15/2022,Champions Lg,Away,L,0,1,frParis S-G,Daniele Orsato,21/22,No Victoria
Real Madrid CF,2/19/2022,La Liga,Home,W,3,0,Alavés,José Luis Munuera,21/22,Victoria
Real Madrid CF,2/26/2022,La Liga,Away,W,1,0,Rayo Vallecano,Isidro Díaz de Mera,21/22,Victoria
Real Madrid CF,3/5/2022,La Liga,Home,W,4,1,Real Sociedad,Jesús Gil,21/22,Victoria
Real Madrid CF,3/9/2022,Champions Lg,Home,W,3,1,frParis S-G,Danny Makkelie,21/22,Victoria
Real Madrid CF,3/14/2022,La Liga,Away,W,3,0,Mallorca,José Sánchez,21/22,Victoria
Real Madrid CF,3/20/2022,La Liga,Home,L,0,4,Barcelona,Juan Martínez,21/22,No Victoria
Real Madrid CF,4/2/2022,La Liga,Away,W,2,1,Celta Vigo,Pablo González,21/22,Victoria
Real Madrid CF,4/6/2022,Champions Lg,Away,W,3,1,engChelsea,Clément Turpin,21/22,Victoria
Real Madrid CF,4/9/2022,La Liga,Home,W,2,0,Getafe,César Soto,21/22,Victoria
Real Madrid CF,4/12/2022,Champions Lg,Home,L,2,3,engChelsea,Szymon Marciniak,21/22,No Victoria
Real Madrid CF,4/17/2022,La Liga,Away,W,3,2,Sevilla,Guillermo Cuadra,21/22,Victoria
Real Madrid CF,4/20/2022,La Liga,Away,W,3,1,Osasuna,Ricardo de Burgos,21/22,Victoria
Real Madrid CF,4/26/2022,Champions Lg,Away,L,3,4,engManchester City,István Kovács,21/22,No Victoria
Real Madrid CF,4/30/2022,La Liga,Home,W,4,0,Espanyol,José Luis Munuera,21/22,Victoria
Real Madrid CF,5/4/2022,Champions Lg,Home,W,3,1,engManchester City,Daniele Orsato,21/22,Victoria
Real Madrid CF,5/8/2022,La Liga,Away,L,0,1,Atlético Madrid,César Soto,21/22,No Victoria
Real Madrid CF,5/12/2022,La Liga,Home,W,6,0,Levante,Adrián Cordero,21/22,Victoria
Real Madrid CF,5/15/2022,La Liga,Away,D,1,1,Cádiz,Antonio Matéu Lahoz,21/22,No Victoria
Real Madrid CF,5/20/2022,La Liga,Home,D,0,0,Betis,Santiago Jaime,21/22,No Victoria
Real Madrid CF,5/28/2022,Champions Lg,Neutral,W,1,0,engLiverpool,Clément Turpin,21/22,Victoria